;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/04/2017 09:51:32
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF004EF8F  	GOTO        2334
_interrupt:
;calculadoraLCD.c,33 :: 		void interrupt(void){
0x0008	0xF018C000  	MOVFF       R0, 24
0x000C	0xF017C001  	MOVFF       R1, 23
0x0010	0xF016C00C  	MOVFF       R12, 22
0x0014	0xF015C00D  	MOVFF       R13, 21
;calculadoraLCD.c,34 :: 		if(INTCON.RBIF)
0x0018	0xA0F2      	BTFSS       INTCON, 0 
0x001A	0xD0FF      	BRA         L_interrupt0
;calculadoraLCD.c,40 :: 		for(i = 0, xx = 0x0f; (i < 4) && (xx==0x0f); i++)
0x001C	0x6A49      	CLRF        interrupt_i_L1 
0x001E	0x0E0F      	MOVLW       15
0x0020	0x6E47      	MOVWF       _xx 
L_interrupt1:
0x0022	0x0E04      	MOVLW       4
0x0024	0x5C49      	SUBWF       interrupt_i_L1, 0 
0x0026	0xE225      	BC          L_interrupt2
0x0028	0x5047      	MOVF        _xx, 0 
0x002A	0x0A0F      	XORLW       15
0x002C	0xE122      	BNZ         L_interrupt2
L__interrupt48:
;calculadoraLCD.c,42 :: 		PORTB.RB0 = 1; // digital output
0x002E	0x8081      	BSF         PORTB, 0 
;calculadoraLCD.c,43 :: 		PORTB.RB1 = 1;
0x0030	0x8281      	BSF         PORTB, 1 
;calculadoraLCD.c,44 :: 		PORTB.RB2 = 1;
0x0032	0x8481      	BSF         PORTB, 2 
;calculadoraLCD.c,45 :: 		PORTB.RB3 = 1;
0x0034	0x8681      	BSF         PORTB, 3 
;calculadoraLCD.c,46 :: 		if(i==0)PORTB.RB0 = 0; // digital output
0x0036	0x5049      	MOVF        interrupt_i_L1, 0 
0x0038	0x0A00      	XORLW       0
0x003A	0xB4D8      	BTFSC       STATUS, 2 
0x003C	0x9081      	BCF         PORTB, 0 
L_interrupt6:
;calculadoraLCD.c,47 :: 		if(i==1)PORTB.RB1 = 0;
0x003E	0x5049      	MOVF        interrupt_i_L1, 0 
0x0040	0x0A01      	XORLW       1
0x0042	0xB4D8      	BTFSC       STATUS, 2 
0x0044	0x9281      	BCF         PORTB, 1 
L_interrupt7:
;calculadoraLCD.c,48 :: 		if(i==2)PORTB.RB2 = 0;
0x0046	0x5049      	MOVF        interrupt_i_L1, 0 
0x0048	0x0A02      	XORLW       2
0x004A	0xB4D8      	BTFSC       STATUS, 2 
0x004C	0x9481      	BCF         PORTB, 2 
L_interrupt8:
;calculadoraLCD.c,49 :: 		if(i==3)PORTB.RB3 = 0;
0x004E	0x5049      	MOVF        interrupt_i_L1, 0 
0x0050	0x0A03      	XORLW       3
0x0052	0xB4D8      	BTFSC       STATUS, 2 
0x0054	0x9681      	BCF         PORTB, 3 
L_interrupt9:
;calculadoraLCD.c,50 :: 		xx = PORTB >> 4;
0x0056	0xF000CF81  	MOVFF       PORTB, R0
0x005A	0x3200      	RRCF        R0, 1 
0x005C	0x9E00      	BCF         R0, 7 
0x005E	0x3200      	RRCF        R0, 1 
0x0060	0x9E00      	BCF         R0, 7 
0x0062	0x3200      	RRCF        R0, 1 
0x0064	0x9E00      	BCF         R0, 7 
0x0066	0x3200      	RRCF        R0, 1 
0x0068	0x9E00      	BCF         R0, 7 
0x006A	0xF047C000  	MOVFF       R0, _xx
;calculadoraLCD.c,40 :: 		for(i = 0, xx = 0x0f; (i < 4) && (xx==0x0f); i++)
0x006E	0x2A49      	INCF        interrupt_i_L1, 1 
;calculadoraLCD.c,51 :: 		}
0x0070	0xD7D8      	BRA         L_interrupt1
L_interrupt2:
;calculadoraLCD.c,52 :: 		result = convertTecla(PORTB, &type);
0x0072	0xF04DCF81  	MOVFF       PORTB, FARG_convertTecla_tecla
0x0076	0x0E00      	MOVLW       0
0x0078	0x6E4E      	MOVWF       FARG_convertTecla_tecla+1 
0x007A	0x0E4A      	MOVLW       interrupt_type_L1
0x007C	0x6E4F      	MOVWF       FARG_convertTecla_type 
0x007E	0x0E00      	MOVLW       hi_addr(interrupt_type_L1)
0x0080	0x6E50      	MOVWF       FARG_convertTecla_type+1 
0x0082	0xDB41      	RCALL       _convertTecla
